ruta,clase,split
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4820820978.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1d2370a3c3.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/6d8a71c08f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/62d7c15d30.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/6fc6fbea7d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/084ec1e86f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/2932e97b36.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/e2669904b5.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/26232a998a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/b28a38b7fe.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/db51d7ded2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/cccfff2204.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1a840c673f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/905da7bad9.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4adccaec0e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/998a8f02ee.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7ab1ad1803.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/23683185b7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7e70ebe0fc.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/3e1f085484.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f553ac5de0.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4aab4176cf.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/83887b88c6.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/177300d9b7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a2cdb05010.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/33fc194d2a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/0c7e707e14.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/9000261755.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/760de60bb7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/d0fb02ad88.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/ee1d29a78a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/fc844e3002.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7e53d93b81.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/04febcf291.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/fdfff54a9f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/cb40b9cb6e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/9e34f4629f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a0d8843377.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/ae09fbacd8.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/467382681a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7a7613abf9.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/573c2ff492.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/53594fac01.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/25365716ce.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/3cfc7329bf.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/8c1830a19e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/daa62c7d67.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/dd6f768bbd.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4dc9135f09.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7231ef89c1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/3e0dcbe438.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7495702191.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/de9c27d09d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/e53c05f902.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/9eb30fceb2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f5c90c4444.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a58160ee3f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a8dcafdde8.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1d76372038.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/9eb7dcee27.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/839f77a183.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/72e964d4a8.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f34255c4e1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1353e9a0d0.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/095c0ed3a7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/e7830eab61.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a2dc1c7cef.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/75f592f09e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f03c4159f2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/96a1193822.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/0b3f8e9f3f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/9a7dc52c20.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c675692e82.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/baa7ac60ec.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1428e05e65.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/e716c333f3.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4d2dff05e3.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a4cc9fbbdc.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/2d8bc564d3.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/2a5e1bdd50.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7f6d0be1f1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1522655376.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a31929aee2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/5a33a80e90.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f15aa63a62.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/b83d626350.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/813e607f5e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/35173f76b7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c18dbe9a15.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/9ce3570a67.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/313ec02e02.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/81d5f88d54.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/8b74fb0a21.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/741c3fb8ba.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/288795a07e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/75cfefea45.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/dc8ba08ae1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/d94958e1cc.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/96c58c8e97.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/aa7833c490.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/d1d7df0ee3.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7e2da44dc1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/8322d12463.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/d5cdd7fd4c.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a357f147ca.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7591505d43.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/9dfeef675d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/46c2b2070d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/562e17115a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f0f866c4fc.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/751dc08570.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/d69b12af8f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/b9d130937c.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/0be159a85a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/b1845299d2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/b1eb55e0f9.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4ae1b01c6b.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/2950651652.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7962741e35.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/8cbf7b1601.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/caedaaae6c.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4760383fee.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7e8c13c736.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/fef8de1145.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/10ae3246b7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/d2c6fcc81c.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f191b4d63d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/cbfc89add7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1df582496f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/acb369a443.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/cecea16b00.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7250174ad9.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a24adfcad2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/da6289de7d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f7f5cae468.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/21d26ac554.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/44d0c9eb6d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c34abc25ff.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c3e1d2ad4d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/b9135d64e5.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/969f8ea506.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/b08ab8e5f1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/293b426e2c.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/46733ed1c1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/de055921db.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/22a825c517.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f0fede878a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/776bd3ef7d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/bb6d54518c.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c414d716e4.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/ade4b72223.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/0d3581731f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/329a71006e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/2102c250a2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/44bc9a1ee7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/dbc9579d8b.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/3dde46004b.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/675a969af8.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/bd9de497ca.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/81020c3f8d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/68976849e2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f12d6d484a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4d2eebba79.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/9c7310e461.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/35371ce08a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/ab06ae1427.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/2d02bdbcaa.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f72489f7d7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1aa9c4fe3a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/d14ac9ffce.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/6bf1d2d133.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/5da7f941dc.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c475e3de0d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c816e656b6.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7de11af352.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/25de1e6a31.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/bed28683f1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/3ea35a3c71.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/964d2efd7e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c900691c61.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/7682cbb5ab.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1790dd7d27.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/cc1db1f9d6.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/0602470879.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a04d176fd1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/3d0acf63c2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/d2bf364da8.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/12b7a4a28e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/42f2dd7b8a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/dd1b871c97.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/0357de4282.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/e934375e5e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/6e2543dd96.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/8f4ea9fffb.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/8a2e4c76f1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/d45cdf8eaa.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4e1fe10236.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/106efb7db7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/b69550fc1e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f09fca5095.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/14f9d96c48.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/646fb0c930.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/2520be56f7.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/2ec32ec9b0.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/428b7bf7c3.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/06b2cd59d8.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/509d91d95b.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/589e537e8e.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/5a640aa9ad.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/5b411ec2f6.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/39e3638f81.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/de5eac0026.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/79775d7e87.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/5b03775e8b.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/318fa5fc7b.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c9486f31cd.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/3544d815ba.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/004a69197a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/fdc704b216.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/b8475fc429.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/6fb9e0ba35.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/bdd51fb1f3.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/ccb3dcea0d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/a44cc2fb50.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1dcf230b04.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/faf9fadd5a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/89d49d4bce.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/fbefa0cf0c.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/885841a7cd.jpg,carton,train
